COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_smithii	p_M_intestini	N_M_smithii	N_M_intestini
"Transposase, IS1182 family"	10.36218452	0.001286229	0.068466965	M. intestini	COG3666	"GC_00000027, GC_00001537, GC_00001539, GC_00001896, GC_00002865"	0.6885	1	61	26
Phage terminase large subunit	10.36218452	0.001286229	0.068466965	M. smithii	COG5362	"GC_00001739, GC_00001850"	0.3115	0	61	26
"Predicted transcriptional regulator, contains an HTH and PUA-like domains"	9.948302996	0.001609977	0.08252625	M. intestini	COG4933	"GC_00001961, GC_00002208"	0.0984	0.3846	61	26
CRISPR-Cas system type I-B effector complex large subunit Cas8b2 (Cas8b2)	9.327709923	0.002257143	0.107720187	M. intestini	COG5939	GC_00001794	0.1803	0.5	61	26
"CRISPR-Cas system type I effector complex subunit Cas7,  RAMP superfamily (Cas7) (PDB:3PS0)"	9.327709923	0.002257143	0.107720187	M. intestini	COG1857	GC_00001795	0.1803	0.5	61	26
"Coenzyme F420-reducing hydrogenase, beta subunit (FrhB) (PDB:3ZFS)!!!L-lactate utilization protein LutB, contains a ferredoxin-type domain (LutB)"	8.715613704	0.003154962	0.145548911	M. smithii	COG1035!!!COG1139	GC_00001756	0.3934	0.0769	61	26
"Predicted nucleic acid-binding protein, contains PIN domain"	8.017901119	0.004631722	0.206783964	M. intestini	COG2405	"GC_00001632, GC_00001687, GC_00002501"	0.623	0.9231	61	26
"Periplasmic protein TonB, links inner and outer membranes (TonB) (PDB:1IHR)"	7.85553461	0.005066537	0.212487486	M. intestini	COG0810	"GC_00001696, GC_00004166"	0.2951	0.6154	61	26
Transposase	7.85553461	0.005066537	0.212487486	M. intestini	COG3335	"GC_00001649, GC_00003049, GC_00003413, GC_00003758, GC_00003793, GC_00003969, GC_00004020, GC_00004038, GC_00004177"	0.2951	0.6154	61	26
"ABC-type Fe3+-siderophore transport system, permease component (FepD) (PDB:2NQ2)"	7.725347665	0.005445087	0.221647086	M. intestini	COG0609	GC_00001554	0.7541	1	61	26
"Mn-dependent transcriptional regulator MntR, DtxR family (MntR) (PDB:1B1B)"	7.291927516	0.006926512	0.259088998	M. intestini	COG1321	GC_00002744	0	0.1154	61	26
"DNA modification methylase (YhdJ) (PDB:1BOO)!!!Chromosome segregation protein Spo0J, contains ParB-like nuclease domain (Spo0J) (PDB:1R71)"	7.291927516	0.006926512	0.259088998	M. intestini	COG0863!!!COG1475	GC_00002784	0	0.1154	61	26
Flavodoxin (FldA) (PDB:1AG9)!!!Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)	7.291927516	0.006926512	0.259088998	M. smithii	COG0716!!!COG1143	GC_00000055	1	0.8846	61	26
Uncharacterized phage protein gp47/JayE (JayE)	6.841792791	0.008904943	0.324327383	M. intestini	COG3299	"GC_00002170, GC_00002716"	0.0656	0.2692	61	26
"Zn-dependent peptidase ImmA, M78 family (ImmA) (PDB:3DTE)"	6.702201799	0.009629393	0.341719988	M. intestini	COG2856	"GC_00001646, GC_00001721, GC_00002265, GC_00002352"	0.6557	0.9231	61	26
"Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)"	6.409456773	0.011351414	0.392758919	M. intestini	COG1396	"GC_00001622, GC_00001720, GC_00002085, GC_00002256"	0.7213	0.9615	61	26
ERCC4-type crossover junction endonuclease (MUS81) (PDB:1J22)	6.004419848	0.014270085	0.481702395	M. intestini	COG1948	"GC_00001929, GC_00002701, GC_00003094"	0.1475	0.3846	61	26
"CRISPR/Cas system-associated protein Cas5, RAMP superfamily (Cas5)"	5.623460534	0.017721624	0.583969709	M. intestini	COG1688	"GC_00001798, GC_00001962, GC_00003116"	0.377	0.6538	61	26
Fic family protein (PDB:3CUC)	5.364637449	0.020549059	0.645884929	M. intestini	COG3177	GC_00001713	0.2787	0.5385	61	26
Prophage antirepressor	5.356162932	0.020649159	0.645884929	M. smithii	COG3617	GC_00001716	0.3607	0.1154	61	26
CRISPR-Cas type I system-associated endonuclease/helicase Cas3 (Cas3)	5.164051905	0.023059041	0.645884929	M. intestini	COG1203	"GC_00001749, GC_00001902, GC_00003097, GC_00003353, GC_00003640"	0.4262	0.6923	61	26
"G:T-mismatch repair DNA endonuclease Vsr, very short patch repair protein (Vsr) (PDB:1CW0)"	4.889604755	0.027018871	0.645884929	M. intestini	COG3727	GC_00001955	0.0656	0.2308	61	26
Large exoprotein involved in heme utilization or adhesion (FhaB) (PDB:4RM6)	4.801610897	0.02843314	0.645884929	M. intestini	COG3210	"GC_00003545, GC_00003591, GC_00004136"	0	0.0769	61	26
Phage terminase large subunit (XtmB) (PDB:4IDH)	4.68284304	0.030465289	0.645884929	M. intestini	COG1783	"GC_00001874, GC_00002311, GC_00002768"	0.2295	0.4615	61	26
"Predicted transcriptional regulator, contains HTH domain (PDB:3LMM)"	4.277362927	0.038623227	0.645884929	M. intestini	COG2865	"GC_00001551, GC_00001660, GC_00001685, GC_00001893, GC_00002126, GC_00002449, GC_00002864, GC_00003194, GC_00003738, GC_00004142"	0.8525	1	61	26
Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake (Smf) (PDB:3MAJ)	4.243585666	0.039398873	0.645884929	M. smithii	COG0758	GC_00001747	0.377	0.1538	61	26
Restriction endonuclease S subunit (HsdS) (PDB:1YDX)	4.115858192	0.042482966	0.645884929	M. intestini	COG0732	"GC_00002010, GC_00002069, GC_00002211, GC_00002212, GC_00002253, GC_00002360, GC_00002403, GC_00002407, GC_00002425, GC_00002429, GC_00002507, GC_00002524, GC_00002533, GC_00002559, GC_00002641, GC_00002662, GC_00002663, GC_00002664, GC_00002668, GC_00002702, GC_00002703, GC_00002705, GC_00002729, GC_00002742, GC_00002755, GC_00002756, GC_00002764, GC_00002765, GC_00002772, GC_00002773, GC_00002795, GC_00002801, GC_00002882, GC_00002883, GC_00002884, GC_00002896, GC_00002926, GC_00002927, GC_00002940, GC_00003010, GC_00003030, GC_00003040, GC_00003041, GC_00003051, GC_00003058, GC_00003064, GC_00003070, GC_00003081, GC_00003082, GC_00003083, GC_00003130, GC_00003213, GC_00003214, GC_00003215, GC_00003216, GC_00003217, GC_00003218, GC_00003220, GC_00003224, GC_00003225, GC_00003232, GC_00003250, GC_00003251, GC_00003277, GC_00003291, GC_00003292, GC_00003293, GC_00003296, GC_00003297, GC_00003308, GC_00003313, GC_00003348, GC_00003359, GC_00003368, GC_00003369, GC_00003394, GC_00003440, GC_00003550, GC_00003639, GC_00003661, GC_00003667, GC_00003848, GC_00004077, GC_00004098, GC_00004164, GC_00004180, GC_00004184"	0.7869	0.9615	61	26
"Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (IlvB) (PDB:1BFD)!!!Sulfopyruvate decarboxylase, TPP-binding subunit (coenzyme M biosynthesis)"	4.072604707	0.043584018	0.645884929	M. intestini	COG0028!!!COG4032	GC_00002525	0.0164	0.1154	61	26
"DNA-cytosine methylase (Dcm) (PDB:3LX6)!!!G:T-mismatch repair DNA endonuclease Vsr, very short patch repair protein (Vsr) (PDB:1CW0)"	4.072604707	0.043584018	0.645884929	M. intestini	COG0270!!!COG3727	GC_00002527	0.0164	0.1154	61	26
Predicted ABC-type ATPase or kinase	3.98207109	0.045986986	0.645884929	M. smithii	COG4185	GC_00001639	0.541	0.3077	61	26
"Type I restriction-modification system, DNA methylase subunit (HsdM) (PDB:2AR0) (PUBMED:26872910)"	3.818791859	0.050680769	0.645884929	M. intestini	COG0286	"GC_00001681, GC_00001851, GC_00001858, GC_00001947, GC_00002052, GC_00002072, GC_00002229, GC_00002369, GC_00002551, GC_00002706, GC_00003033, GC_00003337, GC_00003352, GC_00003456, GC_00003698"	0.7377	0.9231	61	26
Superfamily II DNA or RNA helicase (SSL2) (PDB:6JDE)	3.753636907	0.052692742	0.645884929	M. smithii	COG1061	"GC_00002566, GC_00003018, GC_00003019, GC_00003056, GC_00003681"	0.1311	0	61	26
"DNA uptake channel protein ComEC C-terminal domain, metallo-beta-lactamase superfamily (ComEC)"	3.753636907	0.052692742	0.645884929	M. smithii	COG2333	GC_00002121	0.1311	0	61	26
"ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain (YprA)"	3.589805311	0.058135054	0.645884929	M. smithii	COG1205	"GC_00002240, GC_00002363, GC_00003406"	0.1967	0.0385	61	26
"5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB (McrB) (PDB:6HZ4)"	3.473519317	0.062358507	0.645884929	M. intestini	COG1401	"GC_00001606, GC_00002726, GC_00002858"	0.5574	0.7692	61	26
"Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ... (PDB:2W00)"	3.452889554	0.063141294	0.645884929	M. intestini	COG0610	"GC_00001679, GC_00001833, GC_00002259, GC_00003937"	0.4754	0.6923	61	26
"Uncharacterized conserved protein, DUF1501 family"	3.396032468	0.065353437	0.645884929	M. smithii	COG4102	GC_00000114	0.6721	0.4615	61	26
"CRISPR-Cas system type III CSM-effector complex subunit Csm5, RAMP superfamily Cas7 group (Csm5)"	3.311789196	0.068784564	0.645884929	M. intestini	COG1332	"GC_00001602, GC_00002001"	0.7541	0.9231	61	26
"Uncharacterized conserved protein, DUF1802 family"	3.311789196	0.068784564	0.645884929	M. smithii	COG4293	"GC_00002249, GC_00002343, GC_00002397"	0.2459	0.0769	61	26
"DNAse/DNA nickase specific for phosphorothioated or glycosylated phage DNA, GmrSD/DndB/SspE family, contains DUF262 and HNH nuclease domains (GmrSD) (PDB:6JIV) (PUBMED:17188297;32251370)!!!Uncharacterized protein domain, C-terminal to COG1479 DNAse/DNA nickase (PUBMED:17188297;32251370)"	3.246327697	0.071583672	0.645884929	M. smithii	COG1479!!!COG3586	"GC_00002535, GC_00002648"	0.1148	0	61	26
Membrane protein TolA involved in colicin uptake (TolA) (PDB:1S62)	3.246327697	0.071583672	0.645884929	M. smithii	COG3064	"GC_00002354, GC_00002690"	0.1148	0	61	26
SRSO17 transposase (Srso17)	3.246327697	0.071583672	0.645884929	M. smithii	COG5659	GC_00002202	0.1148	0	61	26
Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)!!!Cytochrome c-type biogenesis protein CcmH/NrfG (NrfG)	3.246327697	0.071583672	0.645884929	M. intestini	COG3063!!!COG4235	GC_00001399	0.8852	1	61	26
Predicted ATP-dependent Lon-type protease	3.230496694	0.072278764	0.645884929	M. smithii	COG4930	"GC_00001801, GC_00001979, GC_00002957"	0.3443	0.1538	61	26
Predicted nucleotidyltransferase MJ0435 (MJ0435) (PDB:1WOT)	3.082871415	0.079120727	0.645884929	M. smithii	COG1669	GC_00002004	0.1803	0.0385	61	26
CRISPR-Cas system type III CSM-effector complex small subunit Csm2 (Csm2) (PDB:5AN6)	2.828632266	0.09259719	0.645884929	M. intestini	COG1421	"GC_00001599, GC_00001986"	0.7705	0.9231	61	26
"CRISPR-Cas system type III CSM-effector complex subunit Csm4, RAMP superfamily Cas5 group (Csm4) (PDB:4QTS)"	2.828632266	0.09259719	0.645884929	M. intestini	COG1567	"GC_00001597, GC_00001995"	0.7705	0.9231	61	26
"CRISPR-Cas system type III CSM-effector complex subunit Csm3, RAMP superfamily Cas7 group (Csm3) (PDB:6IFN)"	2.828632266	0.09259719	0.645884929	M. intestini	COG1337	"GC_00001596, GC_00001984"	0.7705	0.9231	61	26
"Endonuclease YncB, thermonuclease family (YncB)!!!Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains (AdaA) (PDB:1ADN)"	2.748155839	0.097366672	0.645884929	M. intestini	COG1525!!!COG2169	GC_00001518	0.9016	1	61	26
Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases (Cfa) (PDB:5Z9O)	2.745827692	0.097508574	0.645884929	M. intestini	COG2230	GC_00001572	0.7213	0.8846	61	26
"ATP-dependent Clp protease, ATP-binding subunit ClpA (ClpA) (PDB:1KSF)"	2.695922743	0.10060523	0.645884929	M. intestini	COG0542	"GC_00002405, GC_00003973, GC_00004174"	0.0492	0.1538	61	26
"Uncharacterized conserved protein YecA, UPF0149 family, contains C-terminal Zn-binding SEC-C motif (YecA)"	2.595670691	0.10715607	0.645884929	M. smithii	COG3318	"GC_00002029, GC_00003290"	0.1639	0.0385	61	26
Adenylosuccinate lyase (PurB) (PDB:2HVG)	2.375935454	0.123217768	0.645884929	M. smithii	COG0015	GC_00001448	1	0.9615	61	26
UDP-N-acetyl-D-mannosaminuronate dehydrogenase (WecC) (PDB:3OJL)	2.375935454	0.123217768	0.645884929	M. smithii	COG0677	GC_00000074	1	0.9615	61	26
"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain) (RibE) (PDB:1C2Y)"	2.375935454	0.123217768	0.645884929	M. smithii	COG0054	GC_00001431	1	0.9615	61	26
"Uncharacterized conserved protein, DUF2264 domain"	2.375935454	0.123217768	0.645884929	M. smithii	COG4289	GC_00000052	1	0.9615	61	26
"DNA-binding transcriptional regulator, XRE-family HTH domain (XRE) (PDB:1UTX)"	2.375935454	0.123217768	0.645884929	M. smithii	COG1476	GC_00001427	1	0.9615	61	26
"DNA-binding transcriptional regulator, CsgD family (CsgD)"	2.375935454	0.123217768	0.645884929	M. intestini	COG2771	GC_00003675	0	0.0385	61	26
"FoF1-type ATP synthase, gamma subunit (AtpG) (PDB:3OAA) (PUBMED:15326535)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0224	GC_00004093	0	0.0385	61	26
Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)	2.375935454	0.123217768	0.645884929	M. intestini	COG0845	GC_00003495	0	0.0385	61	26
50S ribosomal subunit-associated GTPase HflX (HflX) (PDB:2QTF) (PUBMED:22905870)	2.375935454	0.123217768	0.645884929	M. intestini	COG2262	GC_00003518	0	0.0385	61	26
Twin-arginine protein secretion pathway components TatA and TatB (TatA) (PDB:2L16)	2.375935454	0.123217768	0.645884929	M. intestini	COG1826	GC_00003786	0	0.0385	61	26
"Uncharacterized conserved protein YjbJ, UPF0337 family (yjbJ) (PDB:1RYK)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3237	GC_00003929	0	0.0385	61	26
Copper homeostasis protein CutC (CutC) (PDB:1TWD)	2.375935454	0.123217768	0.645884929	M. intestini	COG3142	GC_00003979	0	0.0385	61	26
"Type IV secretory pathway, VirD4 component, TraG/TraD family ATPase (VirD4) (PDB:1GL6)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3505	GC_00003778	0	0.0385	61	26
Pullulanase/glycogen debranching enzyme (PulA) (PDB:2WSK)	2.375935454	0.123217768	0.645884929	M. intestini	COG1523	"GC_00003728, GC_00003904"	0	0.0385	61	26
Protein involved in initiation of plasmid replication (PDB:2Z9O)	2.375935454	0.123217768	0.645884929	M. intestini	COG5527	GC_00003393	0	0.0385	61	26
Phage protein D (gpD)	2.375935454	0.123217768	0.645884929	M. intestini	COG3500	GC_00003808	0	0.0385	61	26
Opacity protein LomR and related surface antigens (LomR) (PDB:1Q9F)	2.375935454	0.123217768	0.645884929	M. intestini	COG3637	GC_00003382	0	0.0385	61	26
"Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains (YesN)"	2.375935454	0.123217768	0.645884929	M. intestini	COG4753	GC_00004155	0	0.0385	61	26
Mannitol-1-phosphate/altronate dehydrogenases (MtlD) (PDB:1LJ8)	2.375935454	0.123217768	0.645884929	M. intestini	COG0246	GC_00003668	0	0.0385	61	26
"DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif (RadC) (PDB:2QLC) (PUBMED:9695921)"	2.375935454	0.123217768	0.645884929	M. intestini	COG2003	GC_00004111	0	0.0385	61	26
"Fe-S cluster assembly protein CyaY, frataxin homolog (CyaY) (PDB:1EKG)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1965	GC_00003900	0	0.0385	61	26
Na+/H+-dicarboxylate symporter (GltP) (PDB:1XFH)	2.375935454	0.123217768	0.645884929	M. intestini	COG1301	GC_00003741	0	0.0385	61	26
Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain (PspF)	2.375935454	0.123217768	0.645884929	M. intestini	COG1221	GC_00004171	0	0.0385	61	26
Phage-related minor tail protein	2.375935454	0.123217768	0.645884929	M. intestini	COG5281	"GC_00003287, GC_00004150"	0	0.0385	61	26
DNA replication protein DnaC (DnaC) (PDB:2QGZ)	2.375935454	0.123217768	0.645884929	M. intestini	COG1484	GC_00004060	0	0.0385	61	26
"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC (NqrC) (PDB:4P6V)"	2.375935454	0.123217768	0.645884929	M. intestini	COG2869	GC_00004014	0	0.0385	61	26
3-deoxy-D-manno-octulosonic-acid transferase (KdtA) (PDB:2XCI)	2.375935454	0.123217768	0.645884929	M. intestini	COG1519	GC_00003630	0	0.0385	61	26
"Periplasmic serine protease, ClpP class (SppA) (PDB:3BEZ)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0616	GC_00003885	0	0.0385	61	26
Phosphate/sulfate permease (PitA) (PUBMED:31358606)	2.375935454	0.123217768	0.645884929	M. intestini	COG0306	GC_00003627	0	0.0385	61	26
Phosphotransferase system sorbitol-specific IIA component (SrlB) (PDB:2F9H)	2.375935454	0.123217768	0.645884929	M. intestini	COG3731	GC_00003947	0	0.0385	61	26
"Aromatic ring-opening dioxygenase, catalytic subunit, LigB family (LigB) (PDB:2PW6) (PUBMED:23258706)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3384	GC_00003386	0	0.0385	61	26
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)	2.375935454	0.123217768	0.645884929	M. intestini	COG0624	GC_00003478	0	0.0385	61	26
Cell shape-determining protein MreC (MreC) (PDB:2J5U)	2.375935454	0.123217768	0.645884929	M. intestini	COG1792	GC_00003422	0	0.0385	61	26
Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair (DinP) (PDB:4R8U) (PUBMED:16544291)	2.375935454	0.123217768	0.645884929	M. intestini	COG0389	"GC_00003532, GC_00003943"	0	0.0385	61	26
Protein thiol-disulfide isomerase DsbC (DsbG) (PDB:2HI7)	2.375935454	0.123217768	0.645884929	M. intestini	COG1651	GC_00003645	0	0.0385	61	26
Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI (PhnI)	2.375935454	0.123217768	0.645884929	M. intestini	COG3626	GC_00004167	0	0.0385	61	26
NADH:ubiquinone oxidoreductase subunit 4 (chain M) (NuoM) (PDB:6HUM)	2.375935454	0.123217768	0.645884929	M. intestini	COG1008	GC_00003994	0	0.0385	61	26
Superfamily I DNA and/or RNA helicase (DNA2) (PDB:2GJK)!!!Very-short-patch-repair endonuclease (YcjD) (PDB:3HRL)	2.375935454	0.123217768	0.645884929	M. intestini	COG1112!!!COG2852	GC_00003330	0	0.0385	61	26
sRNA-binding regulator protein Hfq (Hfq) (PDB:1HK9)	2.375935454	0.123217768	0.645884929	M. intestini	COG1923	GC_00004052	0	0.0385	61	26
Glutamate racemase (MurI) (PDB:1B73)	2.375935454	0.123217768	0.645884929	M. intestini	COG0796	GC_00003335	0	0.0385	61	26
"DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family (GlpR)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1349	GC_00003624	0	0.0385	61	26
Na+/H+ antiporter NhaA (NhaA) (PDB:1ZCD) (PUBMED:25746996)	2.375935454	0.123217768	0.645884929	M. intestini	COG3004	GC_00003767	0	0.0385	61	26
"Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain (NlpD) (PDB:2GU1)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0739	GC_00004170	0	0.0385	61	26
AICAR transformylase/IMP cyclohydrolase PurH (PurH) (PDB:1G8M)	2.375935454	0.123217768	0.645884929	M. intestini	COG0138	GC_00003612	0	0.0385	61	26
Adenosine deaminase (Add) (PDB:1A4L)	2.375935454	0.123217768	0.645884929	M. intestini	COG1816	GC_00003992	0	0.0385	61	26
"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific (PtsG1)!!!Phosphotransferase system IIB components (PtsG2) (PDB:1IBA)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1263!!!COG1264	GC_00003254	0	0.0385	61	26
Choline-glycine betaine transporter (BetT) (PDB:2WIT)	2.375935454	0.123217768	0.645884929	M. intestini	COG1292	GC_00004109	0	0.0385	61	26
"Transposase (or an inactivated derivative), DDE domain (Rve)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3316	GC_00003998	0	0.0385	61	26
"EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Acyl carrier protein/domain (AcpA) (PDB:2FQ1) (PUBMED:8759840;20663952)!!!Trans-aconitate methyltransferase (Tam) (PDB:2P35)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1020!!!COG3433!!!COG4106	GC_00003385	0	0.0385	61	26
NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY)	2.375935454	0.123217768	0.645884929	M. intestini	COG0604	GC_00003561	0	0.0385	61	26
"Alpha-glucosidase/xylosidase, GH31 family (YicI) (PDB:1WE5) (PUBMED:15294295)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1501	GC_00003726	0	0.0385	61	26
Very-short-patch-repair endonuclease (YcjD) (PDB:3HRL)	2.375935454	0.123217768	0.645884929	M. intestini	COG2852	GC_00003634	0	0.0385	61	26
ATPase/5-3 helicase helicase subunit RecD of the DNA repair enzyme RecBCD (exonuclease V) (RecD) (PDB:1W36) (PUBMED:29901759;30601118)	2.375935454	0.123217768	0.645884929	M. intestini	COG0507	"GC_00003420, GC_00003635, GC_00003863, GC_00004062"	0	0.0385	61	26
Phage tail protein	2.375935454	0.123217768	0.645884929	M. intestini	COG4718	GC_00003714	0	0.0385	61	26
"ABC-type antimicrobial peptide export system, ATPase component SapF (SapF)"	2.375935454	0.123217768	0.645884929	M. intestini	COG4167	GC_00003649	0	0.0385	61	26
"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IIC component (ManY) (PDB:6K1H)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3715	GC_00003983	0	0.0385	61	26
"Fermentation-respiration switch esterase FrsA, DUF1100 family (FrsA)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1073	GC_00003944	0	0.0385	61	26
Ferredoxin-like protein FixX (FixX)	2.375935454	0.123217768	0.645884929	M. intestini	COG2440	GC_00003346	0	0.0385	61	26
Phage tail protein (gp18)	2.375935454	0.123217768	0.645884929	M. intestini	COG4672	GC_00003991	0	0.0385	61	26
