KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_intestini	p_M_smithii	N_M_intestini	N_M_smithii
archaeal type IV pilus assembly protein PilA	6.513869479	0.010703635	0.62794656	M. intestini	K23255	"GC_00001556, GC_00001608"	1	0.7869	26	61
competence protein ComFC	5.932369218	0.014865243	0.713637665	M. smithii	K02242	"GC_00002194, GC_00002341"	0	0.1967	26	61
type I restriction enzyme M protein [EC:2.1.1.72]	5.479022464	0.019246019	0.713637665	M. intestini	K03427	"GC_00001681, GC_00001851, GC_00001947, GC_00002052, GC_00002072, GC_00002229, GC_00002369, GC_00002706, GC_00003456"	0.9231	0.6885	26	61
death on curing protein	5.364637449	0.020549059	0.713637665	M. intestini	K07341	GC_00001713	0.5385	0.2787	26	61
DNA-damage-inducible protein D	5.356162932	0.020649159	0.713637665	M. smithii	K14623	GC_00001716	0.1154	0.3607	26	61
CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]	5.164051905	0.023059041	0.713637665	M. intestini	K07012	"GC_00001749, GC_00001902, GC_00003097, GC_00003353"	0.6923	0.4262	26	61
HTH-type transcriptional regulator / antitoxin HigA	4.902527081	0.026817424	0.713637665	M. intestini	K18831	"GC_00001646, GC_00001721, GC_00002265, GC_00002352, GC_00002481"	0.9231	0.7049	26	61
"DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]"	4.889604755	0.027018871	0.713637665	M. intestini	K07458	GC_00001955	0.2308	0.0656	26	61
"transposase, IS5 family"	4.644537421	0.031152532	0.713637665	M. smithii	K07481	"GC_00000114, GC_00002117, GC_00003953"	0.4615	0.7049	26	61
DNA processing protein	4.243585666	0.039398873	0.713637665	M. smithii	K04096	GC_00001747	0.1538	0.377	26	61
putative DNA primase/helicase	4.155521899	0.041498983	0.713637665	M. intestini	K06919	"GC_00001878, GC_00002576"	0.3846	0.1803	26	61
competence protein ComEC	3.753636907	0.052692742	0.713637665	M. smithii	K02238	"GC_00002121, GC_00003805"	0	0.1311	26	61
5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	3.589805311	0.058135054	0.713637665	M. smithii	K07451	"GC_00002528, GC_00002556, GC_00002808, GC_00002849, GC_00003302"	0.0385	0.1967	26	61
CRISPR-associated protein Csm5	3.311789196	0.068784564	0.713637665	M. intestini	K19140	"GC_00001602, GC_00002001"	0.9231	0.7541	26	61
"type I restriction enzyme, S subunit [EC:3.1.21.3]"	3.082871415	0.079120727	0.713637665	M. intestini	K01154	"GC_00001869, GC_00002010, GC_00002069, GC_00002211, GC_00002212, GC_00002219, GC_00002253, GC_00002360, GC_00002403, GC_00002407, GC_00002425, GC_00002429, GC_00002507, GC_00002524, GC_00002533, GC_00002559, GC_00002641, GC_00002662, GC_00002663, GC_00002664, GC_00002668, GC_00002702, GC_00002703, GC_00002705, GC_00002729, GC_00002742, GC_00002755, GC_00002756, GC_00002764, GC_00002765, GC_00002772, GC_00002773, GC_00002795, GC_00002801, GC_00002882, GC_00002883, GC_00002884, GC_00002896, GC_00002926, GC_00002927, GC_00002940, GC_00003010, GC_00003030, GC_00003040, GC_00003041, GC_00003051, GC_00003058, GC_00003064, GC_00003070, GC_00003081, GC_00003082, GC_00003083, GC_00003130, GC_00003213, GC_00003214, GC_00003215, GC_00003216, GC_00003217, GC_00003218, GC_00003220, GC_00003224, GC_00003225, GC_00003232, GC_00003250, GC_00003251, GC_00003277, GC_00003291, GC_00003292, GC_00003293, GC_00003296, GC_00003297, GC_00003308, GC_00003313, GC_00003348, GC_00003359, GC_00003368, GC_00003369, GC_00003394, GC_00003440, GC_00003550, GC_00003639, GC_00003661, GC_00003667, GC_00004077, GC_00004098, GC_00004164, GC_00004180, GC_00004184"	0.9615	0.8197	26	61
5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]	2.993398677	0.083604529	0.713637665	M. intestini	K07452	"GC_00001606, GC_00002726, GC_00002858, GC_00003807, GC_00003868"	0.7692	0.5738	26	61
adenine-specific DNA-methyltransferase [EC:2.1.1.72]	2.849523655	0.091401014	0.713637665	M. smithii	K07316	"GC_00001751, GC_00001858, GC_00002138, GC_00002210, GC_00002409, GC_00002494, GC_00002550, GC_00002733, GC_00002903, GC_00002968, GC_00002985, GC_00002991, GC_00003000, GC_00003013, GC_00003031, GC_00003032, GC_00003068, GC_00003242, GC_00003352, GC_00003923, GC_00004123"	0.1923	0.377	26	61
CRISPR-associated protein Csm2	2.828632266	0.09259719	0.713637665	M. intestini	K19138	"GC_00001599, GC_00001986"	0.9231	0.7705	26	61
CRISPR-associated protein Csm3	2.828632266	0.09259719	0.713637665	M. intestini	K09002	"GC_00001596, GC_00001984"	0.9231	0.7705	26	61
CRISPR-associated protein Csm4	2.828632266	0.09259719	0.713637665	M. intestini	K19139	"GC_00001597, GC_00001995"	0.9231	0.7705	26	61
glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]	2.375935454	0.123217768	0.713637665	M. smithii	K13693	GC_00001468	0.9615	1	26	61
3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	2.375935454	0.123217768	0.713637665	M. smithii	K01703	GC_00001460	0.9615	1	26	61
3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	2.375935454	0.123217768	0.713637665	M. smithii	K01704	"GC_00001501, GC_00002853"	0.9615	1	26	61
3-isopropylmalate dehydrogenase [EC:1.1.1.85]	2.375935454	0.123217768	0.713637665	M. smithii	K00052	GC_00001462	0.9615	1	26	61
UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]	2.375935454	0.123217768	0.713637665	M. smithii	K02472	GC_00000074	0.9615	1	26	61
"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"	2.375935454	0.123217768	0.713637665	M. smithii	K00794	GC_00001431	0.9615	1	26	61
adenylosuccinate lyase [EC:4.3.2.2]	2.375935454	0.123217768	0.713637665	M. smithii	K01756	GC_00001448	0.9615	1	26	61
plasmid segregation protein ParM	2.375935454	0.123217768	0.713637665	M. intestini	K18640	GC_00003300	0.0385	0	26	61
glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198]	2.375935454	0.123217768	0.713637665	M. intestini	K02782	GC_00003910	0.0385	0	26	61
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]	2.375935454	0.123217768	0.713637665	M. intestini	K03270	GC_00003909	0.0385	0	26	61
3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	2.375935454	0.123217768	0.713637665	M. intestini	K02527	GC_00003630	0.0385	0	26	61
single-strand DNA-binding protein	2.375935454	0.123217768	0.713637665	M. intestini	K03111	GC_00003163	0.0385	0	26	61
putative selenate reductase [EC:1.97.1.9]	2.375935454	0.123217768	0.713637665	M. intestini	K12527	GC_00003450	0.0385	0	26	61
thiamine transport system permease protein	2.375935454	0.123217768	0.713637665	M. intestini	K02063	GC_00003431	0.0385	0	26	61
rod shape-determining protein MreC	2.375935454	0.123217768	0.713637665	M. intestini	K03570	GC_00003422	0.0385	0	26	61
conjugal transfer pilus assembly protein TraU	2.375935454	0.123217768	0.713637665	M. intestini	K12060	GC_00003607	0.0385	0	26	61
conjugal transfer mating pair stabilization protein TraG	2.375935454	0.123217768	0.713637665	M. intestini	K12056	"GC_00003813, GC_00003962"	0.0385	0	26	61
copper homeostasis protein	2.375935454	0.123217768	0.713637665	M. intestini	K06201	GC_00003979	0.0385	0	26	61
rhamnulose-1-phosphate aldolase [EC:4.1.2.19]	2.375935454	0.123217768	0.713637665	M. intestini	K01629	GC_00004151	0.0385	0	26	61
"LysR family transcriptional regulator, transcriptional activator of nhaA"	2.375935454	0.123217768	0.713637665	M. intestini	K03717	GC_00003465	0.0385	0	26	61
cytoskeleton bundling-enhancing protein CbeA and related proteins	2.375935454	0.123217768	0.713637665	M. intestini	K18838	GC_00003558	0.0385	0	26	61
haemolysin expression modulating protein	2.375935454	0.123217768	0.713637665	M. intestini	K05839	GC_00003735	0.0385	0	26	61
phosphopentomutase [EC:5.4.2.7]	2.375935454	0.123217768	0.713637665	M. intestini	K01839	GC_00003305	0.0385	0	26	61
"GntR family transcriptional regulator, hexuronate regulon transcriptional repressor"	2.375935454	0.123217768	0.713637665	M. intestini	K19775	GC_00003961	0.0385	0	26	61
NAD(P)H-flavin reductase [EC:1.5.1.41]	2.375935454	0.123217768	0.713637665	M. intestini	K05368	GC_00003967	0.0385	0	26	61
conjugal transfer pilus assembly protein TraW	2.375935454	0.123217768	0.713637665	M. intestini	K12061	GC_00003988	0.0385	0	26	61
"LysR family transcriptional regulator, glycine cleavage system transcriptional activator"	2.375935454	0.123217768	0.713637665	M. intestini	K03566	GC_00004199	0.0385	0	26	61
FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	2.375935454	0.123217768	0.713637665	M. intestini	K20862	GC_00004005	0.0385	0	26	61
periplasmic protein TonB	2.375935454	0.123217768	0.713637665	M. intestini	K03832	GC_00004166	0.0385	0	26	61
homoserine/homoserine lactone efflux protein	2.375935454	0.123217768	0.713637665	M. intestini	K05834	GC_00003548	0.0385	0	26	61
"phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"	2.375935454	0.123217768	0.713637665	M. intestini	K06167	GC_00003417	0.0385	0	26	61
Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]	2.375935454	0.123217768	0.713637665	M. intestini	K00348	GC_00004014	0.0385	0	26	61
hydrogenase-4 component C [EC:1.-.-.-]	2.375935454	0.123217768	0.713637665	M. intestini	K12138	GC_00003400	0.0385	0	26	61
magnesium and cobalt transporter	2.375935454	0.123217768	0.713637665	M. intestini	K06189	GC_00003673	0.0385	0	26	61
cationic peptide transport system ATP-binding protein	2.375935454	0.123217768	0.713637665	M. intestini	K19230	GC_00003649	0.0385	0	26	61
DNA polymerase III subunit beta [EC:2.7.7.7]	2.375935454	0.123217768	0.713637665	M. intestini	K02338	GC_00003588	0.0385	0	26	61
regulatory protein RepA	2.375935454	0.123217768	0.713637665	M. intestini	K07505	GC_00003881	0.0385	0	26	61
conjugal transfer pilus assembly protein TraF	2.375935454	0.123217768	0.713637665	M. intestini	K12057	GC_00003997	0.0385	0	26	61
GTP-binding protein	2.375935454	0.123217768	0.713637665	M. intestini	K06207	GC_00003580	0.0385	0	26	61
DNA repair protein RadC	2.375935454	0.123217768	0.713637665	M. intestini	K03630	GC_00004111	0.0385	0	26	61
macrolide resistance protein	2.375935454	0.123217768	0.713637665	M. intestini	K19061	GC_00004043	0.0385	0	26	61
preprotein translocase subunit SecD	2.375935454	0.123217768	0.713637665	M. intestini	K03072	GC_00004152	0.0385	0	26	61
beta-glucuronidase [EC:3.2.1.31]	2.375935454	0.123217768	0.713637665	M. intestini	K01195	GC_00003652	0.0385	0	26	61
bacteriophage N4 adsorption protein A	2.375935454	0.123217768	0.713637665	M. intestini	K11739	GC_00003284	0.0385	0	26	61
putative pyrimidine permease RutG	2.375935454	0.123217768	0.713637665	M. intestini	K09016	GC_00003945	0.0385	0	26	61
"yersiniabactin synthetase, thiazolinyl reductase component"	2.375935454	0.123217768	0.713637665	M. intestini	K04785	GC_00004028	0.0385	0	26	61
GTPase	2.375935454	0.123217768	0.713637665	M. intestini	K03665	GC_00003518	0.0385	0	26	61
ferredoxin like protein	2.375935454	0.123217768	0.713637665	M. intestini	K03855	GC_00003346	0.0385	0	26	61
conjugal transfer pilus assembly protein TrbC	2.375935454	0.123217768	0.713637665	M. intestini	K12059	GC_00004178	0.0385	0	26	61
deoxyribonuclease I [EC:3.1.21.1]	2.375935454	0.123217768	0.713637665	M. intestini	K01150	GC_00003775	0.0385	0	26	61
phosphatidylglycerophosphatase A [EC:3.1.3.27]	2.375935454	0.123217768	0.713637665	M. intestini	K01095	GC_00004140	0.0385	0	26	61
alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH [EC:2.7.8.37]	2.375935454	0.123217768	0.713637665	M. intestini	K06165	GC_00003702	0.0385	0	26	61
sorbose PTS system EIIB component [EC:2.7.1.206]	2.375935454	0.123217768	0.713637665	M. intestini	K02813	GC_00003592	0.0385	0	26	61
[protein-PII] uridylyltransferase [EC:2.7.7.59]	2.375935454	0.123217768	0.713637665	M. intestini	K00990	GC_00003602	0.0385	0	26	61
lysophospholipase [EC:3.1.1.5]	2.375935454	0.123217768	0.713637665	M. intestini	K01048	GC_00003812	0.0385	0	26	61
"GntR family transcriptional regulator, uxu operon transcriptional repressor"	2.375935454	0.123217768	0.713637665	M. intestini	K13637	GC_00003384	0.0385	0	26	61
universal stress protein B	2.375935454	0.123217768	0.713637665	M. intestini	K06144	GC_00003977	0.0385	0	26	61
"MFS transporter, FHS family, L-fucose permease"	2.375935454	0.123217768	0.713637665	M. intestini	K02429	GC_00004001	0.0385	0	26	61
dipeptide transport system permease protein	2.375935454	0.123217768	0.713637665	M. intestini	K12370	GC_00003522	0.0385	0	26	61
galactonate dehydratase [EC:4.2.1.6]	2.375935454	0.123217768	0.713637665	M. intestini	K01684	GC_00003637	0.0385	0	26	61
alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37]	2.375935454	0.123217768	0.713637665	M. intestini	K06164	GC_00004167	0.0385	0	26	61
HMP-PP phosphatase [EC:3.6.1.-]	2.375935454	0.123217768	0.713637665	M. intestini	K11938	GC_00003877	0.0385	0	26	61
glutamate:GABA antiporter	2.375935454	0.123217768	0.713637665	M. intestini	K20265	GC_00003781	0.0385	0	26	61
endoglucanase [EC:3.2.1.4]	2.375935454	0.123217768	0.713637665	M. intestini	K20542	GC_00003424	0.0385	0	26	61
F-type H+-transporting ATPase subunit gamma	2.375935454	0.123217768	0.713637665	M. intestini	K02115	GC_00004093	0.0385	0	26	61
DNA-damage-inducible protein I	2.375935454	0.123217768	0.713637665	M. intestini	K12149	GC_00003655	0.0385	0	26	61
NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	2.375935454	0.123217768	0.713637665	M. intestini	K00341	GC_00003958	0.0385	0	26	61
glutamate racemase [EC:5.1.1.3]	2.375935454	0.123217768	0.713637665	M. intestini	K01776	GC_00003335	0.0385	0	26	61
small multidrug resistance pump	2.375935454	0.123217768	0.713637665	M. intestini	K18975	GC_00003643	0.0385	0	26	61
antigen 43	2.375935454	0.123217768	0.713637665	M. intestini	K12687	"GC_00003957, GC_00003993"	0.0385	0	26	61
putatice virulence related protein PagC	2.375935454	0.123217768	0.713637665	M. intestini	K07804	GC_00003382	0.0385	0	26	61
"adenylate cyclase, class 1 [EC:4.6.1.1]"	2.375935454	0.123217768	0.713637665	M. intestini	K05851	GC_00003774	0.0385	0	26	61
sorbose PTS system EIIC component	2.375935454	0.123217768	0.713637665	M. intestini	K02814	GC_00003983	0.0385	0	26	61
DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	2.375935454	0.123217768	0.713637665	M. intestini	K03043	GC_00004042	0.0385	0	26	61
host factor-I protein	2.375935454	0.123217768	0.713637665	M. intestini	K03666	GC_00004052	0.0385	0	26	61
type VI secretion system protein ImpK	2.375935454	0.123217768	0.713637665	M. intestini	K11892	GC_00003794	0.0385	0	26	61
F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	2.375935454	0.123217768	0.713637665	M. intestini	K02111	GC_00003354	0.0385	0	26	61
GTP cyclohydrolase IA [EC:3.5.4.16]	2.375935454	0.123217768	0.713637665	M. intestini	K01495	GC_00003467	0.0385	0	26	61
arabinose-5-phosphate isomerase [EC:5.3.1.13]	2.375935454	0.123217768	0.713637665	M. intestini	K06041	GC_00003739	0.0385	0	26	61
"ParB family transcriptional regulator, chromosome partitioning protein"	2.375935454	0.123217768	0.713637665	M. intestini	K03497	GC_00004099	0.0385	0	26	61
"MFS transporter, TsgA protein"	2.375935454	0.123217768	0.713637665	M. intestini	K06141	GC_00003719	0.0385	0	26	61
toxin CcdB	2.375935454	0.123217768	0.713637665	M. intestini	K19163	GC_00003285	0.0385	0	26	61
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	2.375935454	0.123217768	0.713637665	M. intestini	K02563	GC_00004165	0.0385	0	26	61
transcription elongation factor GreA	2.375935454	0.123217768	0.713637665	M. intestini	K03624	GC_00003955	0.0385	0	26	61
dethiobiotin synthetase [EC:6.3.3.3]	2.375935454	0.123217768	0.713637665	M. intestini	K01935	GC_00003457	0.0385	0	26	61
cytoskeleton-binding toxin CbtA and related proteins	2.375935454	0.123217768	0.713637665	M. intestini	K18837	GC_00003890	0.0385	0	26	61
16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	2.375935454	0.123217768	0.713637665	M. intestini	K09761	GC_00003340	0.0385	0	26	61
Lrp/AsnC family transcriptional regulator	2.375935454	0.123217768	0.713637665	M. intestini	K05800	GC_00003530	0.0385	0	26	61
sec-independent protein translocase protein TatE	2.375935454	0.123217768	0.713637665	M. intestini	K03425	GC_00003786	0.0385	0	26	61
poly(A) polymerase [EC:2.7.7.19]	2.375935454	0.123217768	0.713637665	M. intestini	K00970	GC_00003851	0.0385	0	26	61
elongation factor Tu	2.375935454	0.123217768	0.713637665	M. intestini	K02358	GC_00003569	0.0385	0	26	61
adenosine deaminase [EC:3.5.4.4]	2.375935454	0.123217768	0.713637665	M. intestini	K01488	GC_00003992	0.0385	0	26	61
putative surface-exposed virulence protein	2.375935454	0.123217768	0.713637665	M. intestini	K12516	GC_00003545	0.0385	0	26	61
Mat/Ecp fimbriae adhesin	2.375935454	0.123217768	0.713637665	M. intestini	K21967	GC_00003321	0.0385	0	26	61
"MFS transporter, CP family, cyanate transporter"	2.375935454	0.123217768	0.713637665	M. intestini	K03449	GC_00004100	0.0385	0	26	61
type VI secretion system protein ImpJ	2.375935454	0.123217768	0.713637665	M. intestini	K11893	GC_00004161	0.0385	0	26	61
"7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]"	2.375935454	0.123217768	0.713637665	M. intestini	K01633	GC_00003261	0.0385	0	26	61
fluoroquinolone resistance protein	2.375935454	0.123217768	0.713637665	M. intestini	K18555	GC_00003780	0.0385	0	26	61
"L,D-transpeptidase YcbB"	2.375935454	0.123217768	0.713637665	M. intestini	K21470	GC_00003744	0.0385	0	26	61
"Fur family transcriptional regulator, zinc uptake regulator"	2.375935454	0.123217768	0.713637665	M. intestini	K09823	GC_00003797	0.0385	0	26	61
L-Ala-D/L-Glu epimerase [EC:5.1.1.20]	2.375935454	0.123217768	0.713637665	M. intestini	K19802	GC_00004185	0.0385	0	26	61
glucuronate isomerase [EC:5.3.1.12]	2.375935454	0.123217768	0.713637665	M. intestini	K01812	GC_00003718	0.0385	0	26	61
acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]	2.375935454	0.123217768	0.713637665	M. intestini	K19745	GC_00003561	0.0385	0	26	61
cellulose synthase operon protein B	2.375935454	0.123217768	0.713637665	M. intestini	K20541	GC_00004096	0.0385	0	26	61
chromate transporter	2.375935454	0.123217768	0.713637665	M. intestini	K07240	GC_00003551	0.0385	0	26	61
deaminated glutathione amidase [EC:3.5.1.128]	2.375935454	0.123217768	0.713637665	M. intestini	K11206	GC_00004138	0.0385	0	26	61
purine-nucleoside phosphorylase [EC:2.4.2.1]	2.375935454	0.123217768	0.713637665	M. intestini	K03784	GC_00003869	0.0385	0	26	61
"nitrate reductase (cytochrome), electron transfer subunit"	2.375935454	0.123217768	0.713637665	M. intestini	K02568	GC_00003703	0.0385	0	26	61
"LacI family transcriptional regulator, ebg operon repressor"	2.375935454	0.123217768	0.713637665	M. intestini	K12113	GC_00003872	0.0385	0	26	61
Mat/Ecp fimbriae periplasmic chaperone	2.375935454	0.123217768	0.713637665	M. intestini	K21968	GC_00003600	0.0385	0	26	61
lipoprotein NlpD	2.375935454	0.123217768	0.713637665	M. intestini	K06194	GC_00004170	0.0385	0	26	61
murein peptide amidase A	2.375935454	0.123217768	0.713637665	M. intestini	K14054	GC_00003902	0.0385	0	26	61
ferredoxin-type protein NapH	2.375935454	0.123217768	0.713637665	M. intestini	K02574	GC_00003680	0.0385	0	26	61
tRNA-dihydrouridine synthase B [EC:1.-.-.-]	2.375935454	0.123217768	0.713637665	M. intestini	K05540	GC_00003641	0.0385	0	26	61
taurine transport system permease protein	2.375935454	0.123217768	0.713637665	M. intestini	K15552	GC_00003605	0.0385	0	26	61
"4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]"	2.375935454	0.123217768	0.713637665	M. intestini	K15777	GC_00003386	0.0385	0	26	61
conjugal transfer mating pair stabilization protein TraN	2.375935454	0.123217768	0.713637665	M. intestini	K12058	GC_00004116	0.0385	0	26	61
universal stress protein A	2.375935454	0.123217768	0.713637665	M. intestini	K06149	GC_00003387	0.0385	0	26	61
"cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"	2.375935454	0.123217768	0.713637665	M. intestini	K02199	"GC_00003777, GC_00003985"	0.0385	0	26	61
"Na+:H+ antiporter, NhaA family"	2.375935454	0.123217768	0.713637665	M. intestini	K03313	GC_00003767	0.0385	0	26	61
tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]	2.375935454	0.123217768	0.713637665	M. intestini	K00556	GC_00003501	0.0385	0	26	61
acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]	2.375935454	0.123217768	0.713637665	M. intestini	K08591	GC_00003446	0.0385	0	26	61
small toxic protein TisB	2.375935454	0.123217768	0.713637665	M. intestini	K19148	GC_00003327	0.0385	0	26	61
glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]	2.375935454	0.123217768	0.713637665	M. intestini	K02781	GC_00003947	0.0385	0	26	61
"streptomycin 3""""-adenylyltransferase [EC:2.7.7.47]"	2.375935454	0.123217768	0.713637665	M. intestini	K00984	GC_00003586	0.0385	0	26	61
"DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor"	2.375935454	0.123217768	0.713637665	M. intestini	K03477	GC_00003624	0.0385	0	26	61
phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	2.375935454	0.123217768	0.713637665	M. intestini	K00602	GC_00003612	0.0385	0	26	61
exodeoxyribonuclease VIII [EC:3.1.11.-]	2.375935454	0.123217768	0.713637665	M. intestini	K10906	GC_00003405	0.0385	0	26	61
phosphoglucomutase [EC:5.4.2.2]	2.375935454	0.123217768	0.713637665	M. intestini	K01835	GC_00004074	0.0385	0	26	61
LacI family transcriptional regulator	2.375935454	0.123217768	0.713637665	M. intestini	K02529	GC_00003650	0.0385	0	26	61
L-carnitine/gamma-butyrobetaine antiporter	2.375935454	0.123217768	0.713637665	M. intestini	K05245	GC_00004109	0.0385	0	26	61
"transposase, IS6 family"	2.375935454	0.123217768	0.713637665	M. intestini	K18320	GC_00003998	0.0385	0	26	61
formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	2.375935454	0.123217768	0.713637665	M. intestini	K10563	GC_00003742	0.0385	0	26	61
"trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC"	2.375935454	0.123217768	0.713637665	M. intestini	K03532	GC_00003972	0.0385	0	26	61
tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]	2.375935454	0.123217768	0.713637665	M. intestini	K03216	GC_00003854	0.0385	0	26	61
acyl-CoA dehydrogenase [EC:1.3.99.-]	2.375935454	0.123217768	0.713637665	M. intestini	K06445	GC_00003914	0.0385	0	26	61
ATP-dependent DNA helicase RecG [EC:3.6.4.12]	2.375935454	0.123217768	0.713637665	M. intestini	K03655	GC_00003734	0.0385	0	26	61
anti-adapter protein IraM	2.375935454	0.123217768	0.713637665	M. intestini	K21638	GC_00003837	0.0385	0	26	61
"transposase, IS30 family"	2.375935454	0.123217768	0.713637665	M. intestini	K07482	GC_00003332	0.0385	0	26	61
"TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor"	2.375935454	0.123217768	0.713637665	M. intestini	K18140	GC_00003474	0.0385	0	26	61
cytochrome c-type protein NapC	2.375935454	0.123217768	0.713637665	M. intestini	K02569	GC_00003926	0.0385	0	26	61
NAD+ diphosphatase [EC:3.6.1.22]	2.375935454	0.123217768	0.713637665	M. intestini	K03426	GC_00004013	0.0385	0	26	61
TraL protein	2.375935454	0.123217768	0.713637665	M. intestini	K12227	GC_00003974	0.0385	0	26	61
capsid assembly protease [EC:3.4.21.-]	2.375935454	0.123217768	0.713637665	M. intestini	K21511	GC_00003885	0.0385	0	26	61
